#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_alaminos;Alaminos;Alaminos;Alaminos;;Alaminos;;;;;;;;;x
b_alaminos_adj;Alaminosian;;alaminoser;;;;;;;;;;;x
b_alegria;Alegria;Alegria;Alegria;;Alegria;;;;;;;;;x
b_alegria_adj;Alegrian;;alegrer;;;;;;;;;;;x
b_aparri;Aparri;Aparri;Aparri;;Aparri;;;;;;;;;x
b_aparri_adj;Aparrian;;aparrer;;;;;;;;;;;x
b_balabac;Balabac;Balabac;Balabac;;Balabac;;;;;;;;;x
b_balabac_adj;Balabacian;;balabacer;;;;;;;;;;;x
b_barangay_alegria;Barangay Alegria;Barangay Alegria;Barangay Alegria;;Barangay Alegria;;;;;;;;;x
b_barangay_alegria_adj;Barangay Alegrian;;Barangay Alegrer;;;;;;;;;;;x
b_batacal;Batacal;Batacal;Batacal;;Batacal;;;;;;;;;x
b_batacal_adj;Batacalian;;batacaler;;;;;;;;;;;x
b_batangas;Batangas;Batangas;Batangas;;Batangas;;;;;;;;;x
b_batangas_adj;Batangasian;;batangaser;;;;;;;;;;;x
b_bataraza;Bataraza;Bataraza;Bataraza;;Bataraza;;;;;;;;;x
b_bataraza_adj;Batarazan;;batarazer;;;;;;;;;;;x
b_burdeos;Burdeos;Burdeos;Burdeos;;Burdeos;;;;;;;;;x
b_burdeos_adj;Burdeosian;;burdeoser;;;;;;;;;;;x
b_cabanatuan;Cabanatuan;Cabanatuan;Cabanatuan;;Cabanatuan;;;;;;;;;x
b_cabanatuan_adj;Cabanatuanian;;cabanatuaner;;;;;;;;;;;x
b_cabudadan;Cabudadan;Cabudadan;Cabudadan;;Cabudadan;;;;;;;;;x
b_cabudadan_adj;Cabudadanian;;cabudadaner;;;;;;;;;;;x
b_caluya;Caluya;Caluya;Caluya;;Caluya;;;;;;;;;x
b_caluya_adj;Caluyan;;caluer;;;;;;;;;;;x
b_catanauan;Catanauan;Catanauan;Catanauan;;Catanauan;;;;;;;;;x
b_catanauan_adj;Catanauanian;;catanauaner;;;;;;;;;;;x
b_catanduanes;Catanduanes;Catanduanes;Catanduanes;;Catanduanes;;;;;;;;;x
b_catanduanes_adj;Catanduanesian;;catanduaneser;;;;;;;;;;;x
b_coron;Coron;Coron;Coron;;Coron;;;;;;;;;x
b_coron_adj;Coronian;;coroner;;;;;;;;;;;x
b_dadao;Dadao;Dadao;Dadao;;Dadao;;;;;;;;;x
b_dadao_adj;Dadian;;dader;;;;;;;;;;;x
b_daet;Daet;Daet;Daet;;Daet;;;;;;;;;x
b_daet_adj;Daetian;;daeter;;;;;;;;;;;x
b_dibay;Dibay;Dibay;Dibay;;Dibay;;;;;;;;;x
b_dibay_adj;Dibaian;;dibaer;;;;;;;;;;;x
b_dilam;Dilam;Dilam;Dilam;;Dilam;;;;;;;;;x
b_dilam_adj;Dilamian;;dilamer;;;;;;;;;;;x
b_dilasag;Dilasag;Dilasag;Dilasag;;Dilasag;;;;;;;;;x
b_dilasag_adj;Dilasagian;;dilasager;;;;;;;;;;;x
b_el_nido;El Nido;El Nido;El Nido;;El Nido;;;;;;;;;x
b_el_nido_adj;El Nidian;;El Nider;;;;;;;;;;;x
b_estancia;Estancia;Estancia;Estancia;;Estancia;;;;;;;;;x
b_estancia_adj;Estancian;;estancer;;;;;;;;;;;x
