#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aging;Aging;Aging;Aging;;Aging;;;;;;;;;x
c_aging_adj;Agingian;;aginger;;;;;;;;;;;x
c_amami;Amami;Amami;Amami;;Amami;;;;;;;;;x
c_amami_adj;Amamian;;amamer;;;;;;;;;;;x
c_atartulung;Atartulung;Atartulung;Atartulung;;Atartulung;;;;;;;;;x
c_atartulung_adj;Atartulungian;;atartulunger;;;;;;;;;;;x
c_babai;Babai;Babai;Babai;;Babai;;;;;;;;;x
c_babai_adj;Babian;;baber;;;;;;;;;;;x
c_bahau;Bahau;Bahau;Bahau;;Bahau;;;;;;;;;x
c_bahau_adj;Bahian;;baher;;;;;;;;;;;x
c_bahaur;Bahaur;Bahaur;Bahaur;;Bahaur;;;;;;;;;x
c_bahaur_adj;Bahaurian;;bahaurer;;;;;;;;;;;x
c_baliga;Baliga;Baliga;Baliga;;Baliga;;;;;;;;;x
c_baliga_adj;Baligan;;baliger;;;;;;;;;;;x
c_balikpapan;Balikpapan;Balikpapan;Balikpapan;;Balikpapan;;;;;;;;;x
c_balikpapan_adj;Balikpapanian;;balikpapaner;;;;;;;;;;;x
c_banda_aceh;Banda Aceh;Banda Aceh;Banda Aceh;;Banda Aceh;;;;;;;;;x
c_banda_aceh_adj;Banda Acehian;;Banda Aceher;;;;;;;;;;;x
c_bandar_seri_begawan;Bandar Seri Begawan;Bandar Seri Begawan;Bandar Seri Begawan;;Bandar Seri Begawan;;;;;;;;;x
c_bandar_seri_begawan_adj;Bandar Seri Begawanian;;Bandar Seri Begawaner;;;;;;;;;;;x
c_bangar;Bangar;Bangar;Bangar;;Bangar;;;;;;;;;x
c_bangar_adj;Bangarian;;bangarer;;;;;;;;;;;x
c_bangkinang;Bangkinang;Bangkinang;Bangkinang;;Bangkinang;;;;;;;;;x
c_bangkinang_adj;Bangkinangian;;bangkinanger;;;;;;;;;;;x
c_banjarbaru;Banjarbaru;Banjarbaru;Banjarbaru;;Banjarbaru;;;;;;;;;x
c_banjarbaru_adj;Banjarbarian;;banjarbarer;;;;;;;;;;;x
c_banyuwangi;Banyuwangi;Banyuwangi;Banyuwangi;;Banyuwangi;;;;;;;;;x
c_banyuwangi_adj;Banyuwangian;;banyuwanger;;;;;;;;;;;x
c_baruju;Baruju;Baruju;Baruju;;Baruju;;;;;;;;;x
c_baruju_adj;Barujian;;barujer;;;;;;;;;;;x
c_basawang;Basawang;Basawang;Basawang;;Basawang;;;;;;;;;x
c_basawang_adj;Basawangian;;basawanger;;;;;;;;;;;x
c_batahan;Batahan;Batahan;Batahan;;Batahan;;;;;;;;;x
c_batahan_adj;Batahanian;;batahaner;;;;;;;;;;;x
c_batam;Batam;Batam;Batam;;Batam;;;;;;;;;x
c_batam_adj;Batamian;;batamer;;;;;;;;;;;x
c_batu_pahat;Batu Pahat;Batu Pahat;Batu Pahat;;Batu Pahat;;;;;;;;;x
