#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_anhui;Anhui;Anhui;Anhui;;Anhui;;;;;;;;;x
k_anhui_adj;Anhian;;anher;;;;;;;;;;;x
k_chongqing;Chongqing;Chongqing;Chongqing;;Chongqing;;;;;;;;;x
k_chongqing_adj;Chongqingian;;chongqinger;;;;;;;;;;;x
k_fujian;Fujian;Fujian;Fujian;;Fujian;;;;;;;;;x
k_fujian_adj;Fujianian;;fujianer;;;;;;;;;;;x
k_gansu;Gansu;Gansu;Gansu;;Gansu;;;;;;;;;x
k_gansu_adj;Gansian;;ganser;;;;;;;;;;;x
k_guangdong;Guangdong;Guangdong;Guangdong;;Guangdong;;;;;;;;;x
k_guangdong_adj;Guangdongian;;guangdonger;;;;;;;;;;;x
k_guangxi;Guangxi;Guangxi;Guangxi;;Guangxi;;;;;;;;;x
k_guangxi_adj;Guangxian;;guangxer;;;;;;;;;;;x
k_guizhou;Guizhou;Guizhou;Guizhou;;Guizhou;;;;;;;;;x
k_guizhou_adj;Guizhian;;guizher;;;;;;;;;;;x
k_hainan;Hainan;Hainan;Hainan;;Hainan;;;;;;;;;x
k_hainan_adj;Hainanian;;hainaner;;;;;;;;;;;x
k_hebei;Hebei;Hebei;Hebei;;Hebei;;;;;;;;;x
k_hebei_adj;Hebian;;heber;;;;;;;;;;;x
k_heilongjiang;Heilongjiang;Heilongjiang;Heilongjiang;;Heilongjiang;;;;;;;;;x
k_heilongjiang_adj;Heilongjiangian;;heilongjianger;;;;;;;;;;;x
k_henan;Henan;Henan;Henan;;Henan;;;;;;;;;x
k_henan_adj;Henanian;;henaner;;;;;;;;;;;x
k_hubei;Hubei;Hubei;Hubei;;Hubei;;;;;;;;;x
k_hubei_adj;Hubian;;huber;;;;;;;;;;;x
k_hunan;Hunan;Hunan;Hunan;;Hunan;;;;;;;;;x
k_hunan_adj;Hunanian;;hunaner;;;;;;;;;;;x
k_inner_mongolia;Inner Mongolia;Inner Mongolia;Inner Mongolia;;Inner Mongolia;;;;;;;;;x
k_inner_mongolia_adj;Inner Mongolian;;Inner Mongoler;;;;;;;;;;;x
k_jiangsu;Jiangsu;Jiangsu;Jiangsu;;Jiangsu;;;;;;;;;x
k_jiangsu_adj;Jiangsian;;jiangser;;;;;;;;;;;x
k_jiangxi;Jiangxi;Jiangxi;Jiangxi;;Jiangxi;;;;;;;;;x
k_jiangxi_adj;Jiangxian;;jiangxer;;;;;;;;;;;x
k_jilin;Jilin;Jilin;Jilin;;Jilin;;;;;;;;;x
k_jilin_adj;Jilinian;;jiliner;;;;;;;;;;;x
k_liaoning;Liaoning;Liaoning;Liaoning;;Liaoning;;;;;;;;;x
k_liaoning_adj;Liaoningian;;liaoninger;;;;;;;;;;;x
k_mongolia;Mongolia;Mongolia;Mongolia;;Mongolia;;;;;;;;;x
k_mongolia_adj;Mongolian;;mongoler;;;;;;;;;;;x
k_qinghai;Qinghai;Qinghai;Qinghai;;Qinghai;;;;;;;;;x
k_qinghai_adj;Qinghian;;qingher;;;;;;;;;;;x
k_shaanxi;Shaanxi;Shaanxi;Shaanxi;;Shaanxi;;;;;;;;;x
k_shaanxi_adj;Shaanxian;;shaanxer;;;;;;;;;;;x
k_shandong;Shandong;Shandong;Shandong;;Shandong;;;;;;;;;x
k_shandong_adj;Shandongian;;shandonger;;;;;;;;;;;x
k_sichuan;Sichuan;Sichuan;Sichuan;;Sichuan;;;;;;;;;x
k_sichuan_adj;Sichuanian;;sichuaner;;;;;;;;;;;x
k_yunnan;Yunnan;Yunnan;Yunnan;;Yunnan;;;;;;;;;x
k_yunnan_adj;Yunnanian;;yunnaner;;;;;;;;;;;x
k_zhejiang;Zhejiang;Zhejiang;Zhejiang;;Zhejiang;;;;;;;;;x
k_zhejiang_adj;Zhejiangian;;zhejianger;;;;;;;;;;;x
