province;red;green;blue;x;x
1;1;1;1;PLACEHOLDER1;x
2;1;1;2;PLACEHOLDER2;x
3;1;2;2;PLACEHOLDER3;x
4;2;2;2;PLACEHOLDER4;x
5;2;2;3;PLACEHOLDER5;x
6;2;3;3;PLACEHOLDER6;x
7;3;3;3;PLACEHOLDER7;x
8;3;3;4;PLACEHOLDER8;x
9;3;4;4;PLACEHOLDER9;x
10;4;4;4;PLACEHOLDER10;x
11;4;4;5;PLACEHOLDER11;x
12;4;5;5;PLACEHOLDER12;x
13;5;5;5;PLACEHOLDER13;x
14;5;5;6;PLACEHOLDER14;x
15;5;6;6;PLACEHOLDER15;x
16;6;6;6;PLACEHOLDER16;x
17;6;6;7;PLACEHOLDER17;x
18;6;7;7;PLACEHOLDER18;x
19;7;7;7;PLACEHOLDER19;x
20;7;7;8;PLACEHOLDER20;x
21;7;8;8;PLACEHOLDER21;x
22;8;8;8;PLACEHOLDER22;x
23;8;8;9;PLACEHOLDER23;x
24;8;9;9;PLACEHOLDER24;x
25;9;9;9;PLACEHOLDER25;x
26;9;9;10;PLACEHOLDER26;x
27;9;10;10;PLACEHOLDER27;x
28;10;10;10;PLACEHOLDER28;x
29;10;10;11;PLACEHOLDER29;x
30;10;11;11;PLACEHOLDER30;x
31;11;11;11;PLACEHOLDER31;x
32;11;11;12;PLACEHOLDER32;x
33;11;12;12;PLACEHOLDER33;x
34;12;12;12;PLACEHOLDER34;x
35;12;12;13;PLACEHOLDER35;x
36;12;13;13;PLACEHOLDER36;x
37;13;13;13;PLACEHOLDER37;x
38;13;13;14;PLACEHOLDER38;x
39;13;14;14;PLACEHOLDER39;x
40;14;14;14;PLACEHOLDER40;x
41;14;14;15;PLACEHOLDER41;x
42;14;15;15;PLACEHOLDER42;x
43;15;15;15;PLACEHOLDER43;x
44;15;15;16;PLACEHOLDER44;x
45;15;16;16;PLACEHOLDER45;x
46;16;16;16;PLACEHOLDER46;x
47;16;16;17;PLACEHOLDER47;x
48;16;17;17;PLACEHOLDER48;x
49;17;17;17;PLACEHOLDER49;x
50;17;17;18;PLACEHOLDER50;x
51;17;18;18;PLACEHOLDER51;x
52;18;18;18;PLACEHOLDER52;x
53;18;18;19;PLACEHOLDER53;x
54;18;19;19;PLACEHOLDER54;x
55;19;19;19;PLACEHOLDER55;x
56;19;19;20;PLACEHOLDER56;x
57;19;20;20;PLACEHOLDER57;x
58;20;20;20;PLACEHOLDER58;x
59;20;20;21;PLACEHOLDER59;x
60;20;21;21;PLACEHOLDER60;x
61;21;21;21;PLACEHOLDER61;x
62;21;21;22;PLACEHOLDER62;x
63;21;22;22;PLACEHOLDER63;x
64;22;22;22;PLACEHOLDER64;x
65;22;22;23;PLACEHOLDER65;x
66;22;23;23;PLACEHOLDER66;x
67;23;23;23;PLACEHOLDER67;x
68;23;23;24;PLACEHOLDER68;x
69;23;24;24;PLACEHOLDER69;x
70;24;24;24;PLACEHOLDER70;x
71;24;24;25;PLACEHOLDER71;x
72;24;25;25;PLACEHOLDER72;x
73;25;25;25;PLACEHOLDER73;x
74;25;25;26;PLACEHOLDER74;x
75;25;26;26;PLACEHOLDER75;x
76;26;26;26;PLACEHOLDER76;x
77;26;26;27;PLACEHOLDER77;x
78;26;27;27;PLACEHOLDER78;x
79;27;27;27;PLACEHOLDER79;x
80;27;27;28;PLACEHOLDER80;x
81;27;28;28;PLACEHOLDER81;x
82;28;28;28;PLACEHOLDER82;x
83;28;28;29;PLACEHOLDER83;x
84;28;29;29;PLACEHOLDER84;x
85;29;29;29;PLACEHOLDER85;x
86;29;29;30;PLACEHOLDER86;x
87;29;30;30;PLACEHOLDER87;x
88;30;30;30;PLACEHOLDER88;x
89;30;30;31;PLACEHOLDER89;x
90;30;31;31;PLACEHOLDER90;x
91;31;31;31;PLACEHOLDER91;x
92;31;31;32;PLACEHOLDER92;x
93;31;32;32;PLACEHOLDER93;x
94;32;32;32;PLACEHOLDER94;x
95;32;32;33;PLACEHOLDER95;x
96;32;33;33;PLACEHOLDER96;x
97;33;33;33;PLACEHOLDER97;x
98;33;33;34;PLACEHOLDER98;x
99;33;34;34;PLACEHOLDER99;x
100;34;34;34;PLACEHOLDER100;x
101;34;34;35;PLACEHOLDER101;x
102;34;35;35;PLACEHOLDER102;x
103;35;35;35;PLACEHOLDER103;x
104;35;35;36;PLACEHOLDER104;x
105;35;36;36;PLACEHOLDER105;x
106;36;36;36;PLACEHOLDER106;x
107;36;36;37;PLACEHOLDER107;x
108;36;37;37;PLACEHOLDER108;x
109;37;37;37;PLACEHOLDER109;x
110;37;37;38;PLACEHOLDER110;x
111;37;38;38;PLACEHOLDER111;x
112;38;38;38;PLACEHOLDER112;x
113;38;38;39;PLACEHOLDER113;x
114;38;39;39;PLACEHOLDER114;x
115;39;39;39;PLACEHOLDER115;x
116;39;39;40;PLACEHOLDER116;x
117;39;40;40;PLACEHOLDER117;x
118;40;40;40;PLACEHOLDER118;x
119;40;40;41;PLACEHOLDER119;x
120;40;41;41;PLACEHOLDER120;x
121;41;41;41;PLACEHOLDER121;x
122;41;41;42;PLACEHOLDER122;x
123;41;42;42;PLACEHOLDER123;x
124;42;42;42;PLACEHOLDER124;x
125;42;42;43;PLACEHOLDER125;x
126;42;43;43;PLACEHOLDER126;x
127;43;43;43;PLACEHOLDER127;x
128;43;43;44;PLACEHOLDER128;x
129;43;44;44;PLACEHOLDER129;x
130;44;44;44;PLACEHOLDER130;x
131;44;44;45;PLACEHOLDER131;x
132;44;45;45;PLACEHOLDER132;x
133;45;45;45;PLACEHOLDER133;x
134;45;45;46;PLACEHOLDER134;x
135;45;46;46;PLACEHOLDER135;x
136;46;46;46;PLACEHOLDER136;x
137;46;46;47;PLACEHOLDER137;x
138;46;47;47;PLACEHOLDER138;x
139;47;47;47;PLACEHOLDER139;x
140;47;47;48;PLACEHOLDER140;x
141;47;48;48;PLACEHOLDER141;x
142;48;48;48;PLACEHOLDER142;x
143;48;48;49;PLACEHOLDER143;x
144;48;49;49;PLACEHOLDER144;x
145;49;49;49;PLACEHOLDER145;x
146;49;49;50;PLACEHOLDER146;x
147;49;50;50;PLACEHOLDER147;x
148;50;50;50;PLACEHOLDER148;x
149;50;50;51;PLACEHOLDER149;x
150;50;51;51;PLACEHOLDER150;x
151;51;51;51;PLACEHOLDER151;x
152;51;51;52;PLACEHOLDER152;x
153;51;52;52;PLACEHOLDER153;x
154;52;52;52;PLACEHOLDER154;x
155;52;52;53;PLACEHOLDER155;x
156;52;53;53;PLACEHOLDER156;x
157;53;53;53;PLACEHOLDER157;x
